2018-05-05 09:01:10.538 JST [21841] LOG:  received fast shutdown request
2018-05-05 09:01:10.678 JST [21841] LOG:  aborting any active transactions
2018-05-05 09:01:10.678 JST [21850] FATAL:  terminating connection due to administrator command
2018-05-05 09:01:10.679 JST [21841] LOG:  background worker "logical replication launcher" (PID 21851) exited with exit code 1
2018-05-05 09:01:10.755 JST [21841] LOG:  background worker "walker" (PID 21850) exited with exit code 1
2018-05-05 09:01:10.755 JST [21845] LOG:  shutting down
2018-05-05 09:01:10.827 JST [21845] LOG:  checkpoint starting: shutdown immediate
2018-05-05 09:01:11.106 JST [21845] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.109 s, sync=0.000 s, total=0.351 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-05 09:01:11.400 JST [21841] LOG:  database system is shut down
2018-05-05 09:01:12.420 JST [21898] LOG:  database system was shut down at 2018-05-05 09:01:11 JST
2018-05-05 09:01:12.422 JST [21895] LOG:  database system is ready to accept connections
2018-05-05 09:01:12.423 JST [21904] LOG:  restored 25079 13285 1663
2018-05-05 09:01:12.426 JST [21904] LOG:  restored 25080 13285 1663
2018-05-05 09:01:12.429 JST [21904] LOG:  restored 25082 13285 1663
2018-05-05 09:01:12.635 JST [21904] LOG:  created new! cur 25081 13285 1663, gmaprel 25081 13285 1663
2018-05-05 09:01:22.485 JST [21983] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:01:22.567 JST [21983] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.05 s, system: 0.01 s, elapsed: 0.07 s
2018-05-05 09:01:22.616 JST [21983] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.03 s
2018-05-05 09:01:32.495 JST [22034] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:01:32.590 JST [22034] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.08 s
2018-05-05 09:01:32.642 JST [22034] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 09:01:42.491 JST [22074] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:01:42.550 JST [22074] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 09:01:47.495 JST [22094] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:01:47.612 JST [22094] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.10 s
2018-05-05 09:01:52.502 JST [22114] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:01:52.562 JST [22114] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 09:01:57.523 JST [22132] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:01:57.653 JST [22132] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.10 s, system: 0.01 s, elapsed: 0.11 s
2018-05-05 09:02:02.532 JST [22152] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.01 s
2018-05-05 09:02:02.589 JST [22152] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 09:02:07.525 JST [22173] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:07.685 JST [22173] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.12 s, system: 0.02 s, elapsed: 0.14 s
2018-05-05 09:02:12.526 JST [22197] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:12.586 JST [22197] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 09:02:17.530 JST [22217] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:17.691 JST [22217] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.12 s, system: 0.02 s, elapsed: 0.15 s
2018-05-05 09:02:22.630 JST [22237] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:22.693 JST [22237] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 09:02:27.620 JST [22265] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:32.625 JST [22285] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:32.823 JST [22285] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.15 s, system: 0.03 s, elapsed: 0.18 s
2018-05-05 09:02:32.879 JST [22285] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 09:02:37.630 JST [22305] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:42.633 JST [22325] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:42.689 JST [22325] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 09:02:47.637 JST [22345] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 09:02:47.845 JST [22345] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.15 s, system: 0.03 s, elapsed: 0.19 s
