2018-05-02 16:24:52.571 JST [103456] LOG:  received fast shutdown request
2018-05-02 16:24:52.572 JST [103456] LOG:  aborting any active transactions
2018-05-02 16:24:52.572 JST [103465] FATAL:  terminating connection due to administrator command
2018-05-02 16:24:52.572 JST [103456] LOG:  background worker "logical replication launcher" (PID 103466) exited with exit code 1
2018-05-02 16:24:52.575 JST [103456] LOG:  background worker "walker" (PID 103465) exited with exit code 1
2018-05-02 16:24:52.575 JST [103460] LOG:  shutting down
2018-05-02 16:24:52.576 JST [103460] LOG:  checkpoint starting: shutdown immediate
2018-05-02 16:24:52.685 JST [103460] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.107 s, sync=0.000 s, total=0.109 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-02 16:24:52.951 JST [103456] LOG:  database system is shut down
2018-05-02 16:24:53.811 JST [103509] LOG:  database system was shut down at 2018-05-02 16:24:52 JST
2018-05-02 16:24:53.813 JST [103507] LOG:  database system is ready to accept connections
2018-05-02 16:24:53.815 JST [103515] LOG:  restored 25079 13285 1663
2018-05-02 16:24:53.820 JST [103515] LOG:  restored 25080 13285 1663
2018-05-02 16:24:53.824 JST [103515] LOG:  restored 25082 13285 1663
2018-05-02 16:24:54.261 JST [103515] LOG:  created new! cur 25081 13285 1663, gmaprel 25081 13285 1663
2018-05-02 16:25:03.884 JST [103667] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.01 s
2018-05-02 16:25:03.981 JST [103667] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.08 s
2018-05-02 16:25:04.033 JST [103667] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-02 16:25:08.890 JST [103688] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:25:13.901 JST [103708] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:25:14.012 JST [103708] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.08 s, system: 0.01 s, elapsed: 0.10 s
2018-05-02 16:25:14.067 JST [103708] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-02 16:25:18.896 JST [103728] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:25:23.903 JST [103748] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:25:24.032 JST [103748] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.11 s
2018-05-02 16:25:24.090 JST [103748] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-02 16:25:28.912 JST [103768] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:25:33.925 JST [103788] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:25:34.071 JST [103788] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.10 s, system: 0.02 s, elapsed: 0.13 s
2018-05-02 16:25:34.130 JST [103788] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-02 16:25:38.930 JST [103808] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:25:43.949 JST [103833] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:25:44.104 JST [103833] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.12 s, system: 0.02 s, elapsed: 0.14 s
2018-05-02 16:25:44.161 JST [103833] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-02 16:25:48.957 JST [103853] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
