2018-05-02 16:06:04.175 JST [87255] LOG:  received fast shutdown request
2018-05-02 16:06:04.238 JST [87255] LOG:  aborting any active transactions
2018-05-02 16:06:04.239 JST [87255] LOG:  background worker "logical replication launcher" (PID 87265) exited with exit code 1
2018-05-02 16:06:04.239 JST [87260] LOG:  shutting down
2018-05-02 16:06:04.288 JST [87260] LOG:  checkpoint starting: shutdown immediate
2018-05-02 16:06:04.547 JST [87260] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.107 s, sync=0.000 s, total=0.307 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=16 kB
2018-05-02 16:06:04.802 JST [87255] LOG:  database system is shut down
2018-05-02 16:06:06.054 JST [87309] LOG:  database system was shut down at 2018-05-02 16:06:04 JST
2018-05-02 16:06:06.108 JST [87306] LOG:  database system is ready to accept connections
2018-05-02 16:06:11.267 JST [87406] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.01 s, elapsed: 0.11 s
2018-05-02 16:06:11.322 JST [87406] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-02 16:06:16.163 JST [87427] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:06:21.202 JST [87448] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-02 16:06:26.186 JST [87469] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-02 16:06:26.318 JST [87469] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.12 s
2018-05-02 16:06:31.311 JST [87490] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
