2018-05-03 10:26:25.646 JST [106150] LOG:  received fast shutdown request
2018-05-03 10:26:25.647 JST [106150] LOG:  aborting any active transactions
2018-05-03 10:26:25.647 JST [106158] FATAL:  terminating connection due to administrator command
2018-05-03 10:26:25.647 JST [106150] LOG:  background worker "logical replication launcher" (PID 106159) exited with exit code 1
2018-05-03 10:26:25.650 JST [106150] LOG:  background worker "walker" (PID 106158) exited with exit code 1
2018-05-03 10:26:25.650 JST [106153] LOG:  shutting down
2018-05-03 10:26:25.651 JST [106153] LOG:  checkpoint starting: shutdown immediate
2018-05-03 10:26:25.760 JST [106153] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.106 s, sync=0.000 s, total=0.109 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-03 10:26:26.071 JST [106150] LOG:  database system is shut down
2018-05-03 10:26:26.989 JST [106205] LOG:  database system was shut down at 2018-05-03 10:26:25 JST
2018-05-03 10:26:27.088 JST [106202] LOG:  database system is ready to accept connections
2018-05-03 10:26:27.099 JST [106211] LOG:  restored 25079 13285 1663
2018-05-03 10:26:27.102 JST [106211] LOG:  restored 25080 13285 1663
2018-05-03 10:26:27.106 JST [106211] LOG:  restored 25082 13285 1663
2018-05-03 10:26:27.429 JST [106211] LOG:  created new! cur 25081 13285 1663, gmaprel 25081 13285 1663
2018-05-03 10:26:52.159 JST [106359] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 10:26:52.249 JST [106359] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.07 s
2018-05-03 10:26:52.300 JST [106359] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.03 s
2018-05-03 10:27:02.165 JST [106407] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 10:27:02.267 JST [106407] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.01 s, elapsed: 0.09 s
2018-05-03 10:27:02.324 JST [106407] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 10:27:07.201 JST [106424] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 10:27:12.185 JST [106444] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 10:27:12.315 JST [106444] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.11 s
2018-05-03 10:27:12.370 JST [106444] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 10:27:17.201 JST [106464] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 10:27:22.197 JST [106484] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 10:27:22.341 JST [106484] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.10 s, system: 0.02 s, elapsed: 0.13 s
2018-05-03 10:27:22.399 JST [106484] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
